Run number,d',w',w,tau,d,Max height,Mean height,Mean gradient,Mean soil thickness,Fractional soil cover,Total number of surface faces,Number of soil-air faces,Number of rock-air faces
72,31.6227766,4,0.0004,10000,0.003162278,20.5,13.12648221,0.180291254,0.93385214,0.894736842,513,459,54
73,100,4,0.0004,10000,0.01,8,4.920948617,0.063897501,0.883268482,0.849902534,513,436,77
74,316.227766,4,0.0004,10000,0.031622777,3.5,1.691699605,0.018256429,0.778210117,0.785575049,513,403,110
75,1000,4,0.0004,10000,0.1,1.5,0.533596838,0.002291074,0.280155642,0.393762183,513,202,311
76,0.1,12.64911064,0.126491106,100,0.001,62.5,32.23320158,0.56594929,0.992217899,0.988304094,513,507,6
77,0.316227766,12.64911064,0.126491106,100,0.003162278,61.5,32.05533597,0.554548042,0.996108949,0.98245614,513,504,9
78,1,12.64911064,0.126491106,100,0.01,59,31.14624506,0.531709467,0.972762646,0.955165692,513,490,23
79,3.16227766,12.64911064,0.126491106,100,0.031622777,51.5,28.76679842,0.460974825,1.035019455,0.964912281,513,495,18
80,10,12.64911064,0.126491106,100,0.1,37,22.46245059,0.330888751,1.077821012,0.959064327,513,492,21
81,0.316227766,12.64911064,0.04,316.227766,0.001,62.5,33.00395257,0.55911215,0.984435798,0.965183752,517,499,18
82,1,12.64911064,0.04,316.227766,0.003162278,59,32.22134387,0.529436433,1.015564202,0.967117988,517,500,17
83,3.16227766,12.64911064,0.04,316.227766,0.01,52.5,29.74703557,0.467811966,0.992217899,0.951644101,517,492,25
84,10,12.64911064,0.04,316.227766,0.031622777,38,23.46245059,0.333179824,1.112840467,0.941972921,517,487,30
85,31.6227766,12.64911064,0.04,316.227766,0.1,19.5,12.90909091,0.171163039,1.124513619,0.947368421,513,486,27
86,1,12.64911064,0.012649111,1000,0.001,59,31.16996047,0.531709467,0.992217899,0.980506823,513,503,10
87,3.16227766,12.64911064,0.012649111,1000,0.003162278,51.5,28.6916996,0.465538932,1.031128405,0.947775629,517,490,27
88,10,12.64911064,0.012649111,1000,0.01,37,22.47035573,0.328615717,1.101167315,0.953216374,513,489,24
89,31.6227766,12.64911064,0.012649111,1000,0.031622777,20,12.83794466,0.173436073,1.097276265,0.945419103,513,485,28
90,100,12.64911064,0.012649111,1000,0.1,8.5,5.249011858,0.06391554,1.101167315,0.951267057,513,488,25
91,3.16227766,12.64911064,0.004,3162.27766,0.001,53,29.80632411,0.472376073,1.019455253,0.940038685,517,486,31
92,10,12.64911064,0.004,3162.27766,0.003162278,38,23.45454545,0.337743931,1.128404669,0.951644101,517,492,25
93,31.6227766,12.64911064,0.004,3162.27766,0.01,19.5,12.81818182,0.173436073,1.093385214,0.927875244,513,476,37
94,100,12.64911064,0.004,3162.27766,0.031622777,8,5.18972332,0.066170534,1.06614786,0.931773879,513,478,35
95,316.227766,12.64911064,0.004,3162.27766,0.1,3.5,2.205533597,0.025111609,0.953307393,0.873294347,513,448,65
96,10,12.64911064,0.001264911,10000,0.001,36.5,22.24110672,0.326324643,1.081712062,0.962962963,513,494,19
97,31.6227766,12.64911064,0.001264911,10000,0.003162278,19.5,12.85770751,0.171163039,1.050583658,0.933723197,513,479,34
98,100,12.64911064,0.001264911,10000,0.01,8,5.18972332,0.061606427,1.085603113,0.929824561,513,477,36
99,316.227766,12.64911064,0.001264911,10000,0.031622777,3.5,2.134387352,0.020529462,1.019455253,0.886939571,513,455,58
100,1000,12.64911064,0.001264911,10000,0.1,2.5,1.102766798,0.009128214,0.743190661,0.754385965,513,387,126
101,0.1,40,0.4,100,0.001,63,32.24110672,0.568222324,1,0.988304094,513,507,6
102,0.316227766,40,0.4,100,0.003162278,60.5,31.98023715,0.547692862,0.976653696,0.984405458,513,505,8
103,1,40,0.4,100,0.01,58,31.08300395,0.524872326,1.019455253,0.988304094,513,507,6
104,3.16227766,40,0.4,100,0.031622777,51.5,28.54940711,0.460974825,1.077821012,0.974658869,513,500,13
105,10,40,0.4,100,0.1,37,22.28853755,0.330888751,1.20233463,0.980506823,513,503,10
106,0.316227766,40,0.126491106,316.227766,0.001,62.5,32.99604743,0.55909411,1.019455253,0.98065764,517,507,10
107,1,40,0.126491106,316.227766,0.003162278,59.5,32.13833992,0.53400054,1,0.974854932,517,504,13
108,3.16227766,40,0.126491106,316.227766,0.01,52,29.56521739,0.463247859,1.101167315,0.976789168,517,505,12
109,10,40,0.126491106,316.227766,0.031622777,37.5,23.18181818,0.330888751,1.186770428,0.96131528,517,497,20
110,31.6227766,40,0.126491106,316.227766,0.1,19.5,12.59288538,0.168871966,1.26848249,0.966861598,513,496,17
111,1,40,0.04,1000,0.001,58.5,31.02371542,0.524854286,1.019455253,0.98245614,513,504,9
112,3.16227766,40,0.04,1000,0.003162278,51,28.55335968,0.456410718,1.070038911,0.98245614,513,504,9
113,10,40,0.04,1000,0.01,36.5,22.3201581,0.328615717,1.20233463,0.976608187,513,501,12
114,31.6227766,40,0.04,1000,0.031622777,19.5,12.55731225,0.171163039,1.237354086,0.976608187,513,501,12
115,100,40,0.04,1000,0.1,8,4.984189723,0.061606427,1.217898833,0.961013645,513,493,20
116,3.16227766,40,0.012649111,3162.27766,0.001,52.5,29.66798419,0.465520892,1.101167315,0.965183752,517,499,18
117,10,40,0.012649111,3162.27766,0.003162278,37.5,23.24901186,0.328615717,1.210116732,0.972920696,517,503,14
118,31.6227766,40,0.012649111,3162.27766,0.01,19.5,12.58102767,0.171163039,1.229571984,0.972709552,513,499,14
119,100,40,0.012649111,3162.27766,0.031622777,8,5,0.066170534,1.272373541,0.98245614,513,504,9
120,316.227766,40,0.012649111,3162.27766,0.1,3.5,2.031620553,0.022820536,1.155642023,0.914230019,513,469,44
121,10,40,0.004,10000,0.001,36.5,22.15019763,0.326342683,1.217898833,0.972709552,513,499,14
122,31.6227766,40,0.004,10000,0.003162278,19.5,12.54545455,0.168853926,1.225680934,0.955165692,513,490,23
123,100,40,0.004,10000,0.01,8,4.964426877,0.066170534,1.26848249,0.964912281,513,495,18
124,316.227766,40,0.004,10000,0.031622777,3.5,2.027667984,0.022820536,1.128404669,0.920077973,513,472,41
125,1000,40,0.004,10000,0.1,2,0.988142292,0.009128214,0.727626459,0.7582846,513,389,124
